Марка,Ссылка,usd_price,uah_price,Город,fuel,Объём,transmission,drive
Jeep Grand Cherokee 2018,https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1810691.html,55 000,1 465 200,Одесса,Дизтопливо,3.0,Автомат,Полный привод
Jeep Grand Cherokee 2019,https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1811781.html,63 000,1 673 910,Одесса,Дизтопливо,3.0,Автомат,Полный привод
Jeep Renegade 2019,https://auto.ria.com/newauto/auto-jeep-renegade-1810689.html,32 500,865 800,Одесса,Бензин,1.3,Автомат,Полный привод
Jeep Compass 2019,https://auto.ria.com/newauto/auto-jeep-compass-1810690.html,36 800,977 776,Одесса,Бензин,2.4,Автомат,Полный привод
Jeep Grand Cherokee 2019,https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1834871.html,49 900,1 329 600,Киев,Дизтопливо,3.0,Автомат,Полный привод
Jeep Wrangler 2018,https://auto.ria.com/newauto/auto-jeep-wrangler-1810694.html,55 700,1 483 848,Одесса,Бензин,2.0,Автомат,Полный привод
Jeep Grand Cherokee 2019,https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1836192.html,63 000,1 678 654,Киев,Дизтопливо,3.0,Автомат,Полный привод
Jeep Grand Cherokee 2018,https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1838297.html,55 000,1 465 491,Киев,Дизтопливо,3.0,Автомат,Полный привод
Jeep Compass 2019,https://auto.ria.com/newauto/auto-jeep-compass-1838186.html,43 300,1 153 741,Киев,Бензин,2.4,Автомат,Полный привод
Jeep Compass 2019,https://auto.ria.com/newauto/auto-jeep-compass-1838277.html,34 400,916 598,Киев,Бензин,2.4,Автомат,Полный привод
Jeep Renegade 2019,https://auto.ria.com/newauto/auto-jeep-renegade-1838198.html,32 500,865 972,Киев,Бензин,1.3,Автомат,Полный привод
Jeep Wrangler 2018,https://auto.ria.com/newauto/auto-jeep-wrangler-1838190.html,58 400,1 556 086,Киев,Бензин,2.0,Автомат,Полный привод
Jeep Wrangler 2017,https://auto.ria.com/newauto/auto-jeep-wrangler-1838228.html,50 000,1 332 265,Киев,Дизтопливо,2.8,Автомат,Полный привод
Jeep Gladiator 2020,https://auto.ria.com/newauto/auto-jeep-gladiator-1821388.html,69 900,1 862 506,Киев,Бензин,3.6,Автомат,Полный привод
Jeep Renegade 2019,https://auto.ria.com/newauto/auto-jeep-renegade-1835986.html,32 500,865 972,Харьков,Бензин,1.3,Автомат,Полный привод
Jeep Grand Cherokee 2020,https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1166274.html,98 900,2 635 131,Киев,Бензин,6.4,Автомат,Полный привод
Jeep Grand Cherokee 2020,https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1830701.html,49 500,1 318 942,Киев,Бензин,3.6,Автомат,Полный привод
Jeep Grand Cherokee 2020,https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1834293.html,52 999,1 412 174,Киев,Дизтопливо,3.0,Автомат,Полный привод
Jeep Gladiator 2020,https://auto.ria.com/newauto/auto-jeep-gladiator-1838160.html,65 900,1 755 925,Киев,Бензин,3.6,Автомат,Полный привод
Jeep Wrangler 2020,https://auto.ria.com/newauto/auto-jeep-wrangler-1718241.html,69 900,1 862 506,Киев,Бензин,3.6,Автомат,Полный привод
Jeep Wrangler 2020,https://auto.ria.com/newauto/auto-jeep-wrangler-1637870.html,79 000,2 104 979,Киев,Бензин,3.6,Автомат,Полный привод
Jeep Grand Cherokee 2019,https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1829809.html,62 500,1 507 500,Львов,Дизтопливо,3.0,Автомат,Полный привод
Jeep Cherokee 2020,https://auto.ria.com/newauto/auto-jeep-cherokee-1739368.html,44 300,1 180 387,Киев,Бензин,2.4,Автомат,Полный привод
Jeep Compass 2019,https://auto.ria.com/newauto/auto-jeep-compass-1829810.html,39 000,940 680,Львов,Бензин,2.4,Автомат,Полный привод
Jeep Wrangler 2020,https://auto.ria.com/newauto/auto-jeep-wrangler-1117665.html,68 000,1 811 819,Киев,Бензин,2.0,Автомат,Полный привод
Jeep Grand Cherokee 2018,https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1726792.html,58 000,1 545 427,Харьков,Дизтопливо,3.0,Автомат,Полный привод
Jeep Wrangler 2020,https://auto.ria.com/newauto/auto-jeep-wrangler-994054.html,77 750,2 071 602,Киев,Дизтопливо,2.1,Автомат,Полный привод
Jeep Wrangler 2020,https://auto.ria.com/newauto/auto-jeep-wrangler-1637873.html,67 500,1 798 558,Киев,Бензин,2.0,Автомат,Полный привод
Jeep Grand Cherokee 2018,https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1810712.html,55 000,1 465 491,Харьков,Дизтопливо,3.0,Автомат,Полный привод
Jeep Compass 2019,https://auto.ria.com/newauto/auto-jeep-compass-1817761.html,36 800,985 254,Харьков,Бензин,2.4,Автомат,Полный привод
Jeep Grand Cherokee 2019,https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1829808.html,62 500,1 507 500,Львов,Дизтопливо,3.0,Автомат,Полный привод
Jeep Compass 2019,https://auto.ria.com/newauto/auto-jeep-compass-1829806.html,34 000,820 080,Львов,Бензин,2.4,Автомат,Полный привод
Jeep Renegade 2019,https://auto.ria.com/newauto/auto-jeep-renegade-1636832.html,43 800,1 167 064,Киев,Бензин,2.4,Автомат,Полный привод
Jeep Compass 2020,https://auto.ria.com/newauto/auto-jeep-compass-1816851.html,33 700,897 947,Киев,Дизтопливо,2.0,Автомат,Полный привод
Jeep Compass 2019,https://auto.ria.com/newauto/auto-jeep-compass-1816849.html,33 500,896 902,Киев,Дизтопливо,2.0,Автомат,Полный привод
Jeep Wrangler 2020,https://auto.ria.com/newauto/auto-jeep-wrangler-1830576.html,66 900,1 782 571,Киев,Дизтопливо,2.1,Автомат,Полный привод
Jeep Grand Cherokee 2020,https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1686687.html,158 800,4 231 274,Киев,Бензин,6.2,Автомат,Полный привод
